book_id,chap_num,n_tokens,n_types
1,1,1162,534
1,2,1358,599
1,3,1264,589
1,4,179,120
1,5,3796,1325
1,6,3479,1276
1,7,795,365
1,8,1781,726
1,9,965,467
1,10,870,432
1,11,3106,1126
1,12,2224,798
1,13,830,415
1,14,1875,733
1,15,1966,804
1,16,408,224
1,17,1219,524
1,18,1660,674
1,19,4595,1483
1,20,788,408
1,21,4919,1540
1,22,2571,971
1,23,2454,1005
1,24,5275,1583
1,25,1387,569
1,26,787,399
1,27,4160,1347
1,28,1040,513
1,29,3006,1013
1,30,1909,748
1,31,2450,884
1,32,797,385
1,33,2287,793
1,34,1981,792
1,35,3346,1166
1,36,1653,684
1,37,1804,703
1,38,2694,968
1,39,2186,856
1,40,4359,1326
1,41,2695,977
1,42,1980,784
1,43,2396,921
1,44,1913,742
1,45,534,296
1,46,1319,544
1,47,1158,537
1,48,2126,799
1,49,601,321
1,50,5179,1575
1,51,1387,630
1,52,1504,658
1,53,1756,749
1,54,634,318
1,55,2751,916
1,56,2015,834
1,57,693,348
1,58,1340,631
1,59,2015,764
1,60,2376,920
2,6,8,8
2,8,7825,1980
2,9,3007,1059
2,10,4346,1345
2,11,1505,621
2,12,7194,1790
2,13,11239,2690
2,14,4680,1410
3,1,2878,1140
3,2,2212,866
3,3,2941,1103
3,4,1729,712
3,5,2112,806
3,6,1658,725
3,7,1972,746
3,8,2159,858
3,9,2110,776
3,10,2036,853
3,11,2531,880
3,12,1782,781
3,13,1034,459
3,14,2689,973
3,15,2289,842
3,16,2930,1074
3,17,1956,766
3,18,2185,861
3,19,2176,883
3,20,2238,806
3,21,2104,853
3,22,2248,914
3,23,2016,752
3,24,1660,699
3,25,2646,1079
3,26,1694,725
3,27,2809,972
3,28,1855,761
3,29,2286,872
3,30,1587,694
4,1,2046,833
4,2,1882,759
4,3,1622,593
4,4,2398,904
4,5,837,419
4,6,3020,1109
4,7,2107,806
4,8,1875,714
4,9,1394,618
4,10,2398,901
4,11,2116,765
4,12,1784,723
4,13,1613,718
4,14,2462,1008
4,15,1238,550
4,16,2514,936
4,17,1573,653
4,18,1872,736
4,19,1937,766
4,20,1538,649
4,21,2427,960
4,22,1980,680
4,23,1891,722
4,24,2227,792
4,25,1663,618
4,26,1966,821
4,27,2042,795
5,1,3531,937
5,2,1923,608
5,3,2387,800
5,4,2857,928
5,5,3389,1029
5,6,3423,1095
5,7,6237,1528
5,8,3426,986
5,9,3772,1046
5,10,4089,1183
5,11,3114,941
5,12,2701,824
5,13,3312,982
5,14,1706,600
5,15,7653,1702
5,16,5075,1332
5,17,2208,697
5,18,3686,999
5,19,2269,727
6,1,3531,937
6,2,1923,608
6,3,2387,800
6,4,2857,928
6,5,3389,1029
6,6,3423,1095
6,7,6237,1528
6,8,3426,986
6,9,3772,1046
6,10,4089,1183
6,11,3114,941
6,12,2701,824
6,13,3312,982
6,14,1706,600
6,15,7653,1702
6,16,5075,1332
6,17,2208,697
6,18,3686,999
6,19,2269,727
7,2,7494,2111
7,3,7562,2037
7,4,1922,737
7,5,3200,1132
7,6,2499,899
7,7,112,88
7,8,15,15
7,9,300,169
7,10,1474,674
7,11,768,416
7,12,2560,988
7,13,238,148
7,14,6238,1740
7,15,298,180
7,17,4614,1442
7,19,701,349
7,20,6941,1792
7,21,37,32
7,22,7436,2157
7,23,6406,1696
7,24,6216,1753
7,25,6929,1950
7,26,167,110
7,27,680,352
7,28,4145,1314
8,1,1710,668
8,2,5531,1684
8,3,2398,893
8,4,3309,1251
8,5,3690,1305
8,6,3875,1202
8,7,4428,1500
8,8,3033,1115
8,9,4563,1423
8,10,3839,1186
8,11,2952,1110
8,12,6518,1863
8,13,4191,1343
8,14,2326,811
8,15,2235,720
9,1,1672,757
9,2,1990,843
9,3,1779,799
9,4,3530,1317
9,5,2980,1137
9,6,13068,3486
9,7,2621,1168
9,8,11311,3410
9,9,2740,1188
9,10,1978,896
9,11,2504,1114
9,12,3832,1526
9,13,10269,2900
9,14,4523,1385
9,15,15481,3471
9,16,10578,2672
9,17,4844,1581
9,18,6208,2004
9,19,5898,1905
9,20,6343,2083
9,21,2968,1256
9,22,2480,1050
9,23,3115,1235
9,24,8144,2252
9,25,9821,2614
9,26,9652,2743
9,27,5650,1784
9,28,6770,1980
9,29,6144,1753
10,1,5300,1792
10,2,4096,1406
10,3,4330,1604
10,4,3610,1389
10,5,4780,1613
10,6,4227,1455
10,7,5310,1588
10,8,6003,1723
10,9,5896,1687
10,10,5433,1549
10,11,6792,1767
10,12,7190,1886
11,1,3885,1303
11,2,2919,956
11,3,4090,1185
11,4,3443,1050
11,5,3509,1263
11,6,4994,1378
11,7,2772,984
11,8,10396,2109
11,9,4601,1310
11,10,4264,1245
11,11,4120,1164
11,12,4204,1334
11,13,4110,1247
12,1,2130,750
12,2,2359,927
12,3,2435,933
12,4,5496,1678
12,5,4471,1485
12,6,3489,1265
12,7,3472,1298
12,8,4455,1529
12,9,8250,2134
12,10,4991,1597
12,11,5622,1719
12,12,5731,1610
12,13,5520,1586
12,14,5421,1671
12,15,6021,1749
12,16,6347,1987
13,1,3679,1360
13,2,4382,1520
13,3,4440,1480
13,4,4340,1500
13,5,4783,1563
13,6,5846,1917
13,7,4623,1497
13,8,4355,1483
13,9,4286,1401
13,10,3789,1289
13,11,5074,1605
13,12,9660,2532
13,13,4190,1318
13,14,3839,1343
13,15,4829,1558
13,16,4061,1321
13,17,5123,1637
13,18,3922,1379
13,19,2698,940
13,20,3243,1153
13,21,2549,855
13,22,3360,1228
13,23,4222,1490
13,24,4214,1440
13,25,5812,1743
13,26,4285,1372
13,27,4180,1384
13,28,4553,1458
13,29,5387,1549
13,30,4512,1449
13,31,3438,1163
13,32,4380,1389
